inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
HCAAUFRAGZBANF-UHFFFAOYSA-N,5159,43,17756813,COc1ccccc1C1CC(=O)Oc2cc(OC)c(OC)c(OC)c21,0.4747509539456906,8.318706919085008,17.522254247090213,1,8.318706919085008,1.0,43,43,60,1,0.0166666666666666,1,0,yes
LOOZQMAGJUSFLK-UHFFFAOYSA-N,5165,43,24747704,Cl.Oc1cccc(Nc2ncnc3c2oc2ccccc23)c1,0.9294861321855852,5.714540439117673,6.148064227360289,1,8.382944038151301,1.0,43,24,58,4,0.0689655172413793,1,3,yes
AFZQGJCVAKLESL-VNIRGASOSA-N,5181,43,16400414,CC(NC(=O)[C@H](C)N1C(=O)N2CCc3c([nH]c4ccccc34)[C@@]2(C)C1=O)c1ccccc1,0.3976789565334004,3.96262728240198,9.964387648128334,1,3.9907310219934833,1.0,43,43,100,2,0.02,1,1,yes
IAKHMKGGTNLKSZ-INIZCTEOSA-N,5190,43,6167,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.4594952627677864,3.2,6.964163200997294,1,3.6,1.0,43,40,27,2,0.074074074074074,2,0,yes
CPOOLXVTWFEFNO-UHFFFAOYSA-N,5218,42,135411931,O=C1Nc2ccccc2/C1=N/c1ccc(Cl)cc1,0.320491427916611,3.522335362135093,10.990419884339538,1,3.522335362135093,1.0,42,27,27,1,0.037037037037037,1,0,yes
BWYAWQZORYABAB-UHFFFAOYSA-N,5234,42,2438437,CCOc1ccccc1NC(=O)c1ccc2nc[nH]c2c1,0.4137239036754122,6.445124279651448,15.57832221535834,1,6.445124279651448,1.0,42,37,48,1,0.0208333333333333,0,1,yes
LSRYUCJIXRVZSJ-GQCTYLIASA-N,5238,42,6213986,O=C(/C=C/c1ccc(Cl)c([N+](=O)[O-])c1)c1cccnc1,0.4211021235464111,4.625072572773131,10.983256350792033,1,4.625072572773131,1.0,42,31,48,1,0.0208333333333333,1,0,yes
YYPFFGGDEUTASO-UHFFFAOYSA-N,5322,41,1282288,O=C(Nc1ccc2snnc2c1)Nc1cccc2ccccc12,0.524886875055678,10.0,19.05172423855948,1,10.0,1.0,41,14,100,1,0.01,1,0,yes
PENGFPGDYHZNAP-UHFFFAOYSA-N,5328,41,16190162,COc1ccc(CN2CCCC(C(=O)c3ccc(SC)cc3)C2)cc1Cn1cccn1,0.2940416686450686,8.4,28.567379714265805,1,8.4,1.0,41,37,75,1,0.0133333333333333,1,0,yes
IUUBWZAPFHIWSH-UHFFFAOYSA-N,5333,41,16191708,CCOC(=O)N1CCC(N2CCCC(C(=O)c3cc(C)c(OC)c(C)c3)C2)CC1,0.4553192988632797,7.5,16.471957192950107,1,7.5,1.0,41,36,85,1,0.0117647058823529,1,0,yes
SZDXLKNVUKAHTG-UHFFFAOYSA-N,5350,41,1512279,COc1ccc(C(=O)c2sc(Nc3ccccc3)nc2N)cc1OC,0.4638910646564442,8.9,19.185538757016808,1,8.9,1.0,41,19,50,1,0.02,1,0,yes
XFXGEGOGQBKIIF-UHFFFAOYSA-N,5362,41,2397314,Cc1ccc(NC(=S)Nc2cccnc2)c(S(=O)(=O)N2CCCCC2)c1,0.4093996989483359,4.5,10.991703246386306,1,4.5,1.0,41,28,75,1,0.0133333333333333,1,0,yes
