gcm_cluster,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
7841,25,25,42,1,0.0238095238095238,1,0,yes
7851,25,19,61,1,0.0163934426229508,0,1,yes
7868,25,17,64,1,0.015625,1,0,yes
7893,25,17,100,1,0.01,1,0,yes
7902,25,25,40,1,0.025,1,0,yes
7904,25,9,70,1,0.0142857142857142,1,0,yes
7908,25,19,96,2,0.0208333333333333,2,0,yes
7926,25,25,49,3,0.0612244897959183,2,1,yes
7939,25,21,18,1,0.0555555555555555,1,0,yes
7943,25,16,61,2,0.0327868852459016,0,2,yes
7945,25,20,36,1,0.0277777777777777,1,0,yes
7958,25,22,39,1,0.0256410256410256,0,1,yes
7977,25,19,40,1,0.025,1,0,yes
7983,25,16,51,2,0.0392156862745098,2,0,yes
7986,25,23,45,3,0.0666666666666666,0,3,yes
7989,25,9,88,3,0.034090909090909,2,1,yes
7994,24,11,55,2,0.0363636363636363,2,0,yes
8005,24,21,32,1,0.03125,1,0,yes
8009,24,12,99,1,0.0101010101010101,1,0,yes
8030,24,24,42,1,0.0238095238095238,0,1,yes
8085,24,24,97,1,0.0103092783505154,0,1,yes
8092,24,14,31,2,0.064516129032258,2,0,yes
8097,24,19,27,2,0.074074074074074,0,2,yes
8102,24,24,14,1,0.0714285714285714,1,0,yes
8110,24,23,90,2,0.0222222222222222,1,1,yes
8149,24,17,41,1,0.024390243902439,0,1,yes
8164,24,17,30,1,0.0333333333333333,1,0,yes
8172,24,21,97,1,0.0103092783505154,0,1,yes
8180,24,17,61,1,0.0163934426229508,1,0,yes
8181,24,21,19,3,0.1578947368421052,3,0,yes
8187,24,19,49,3,0.0612244897959183,3,0,yes
8192,24,18,37,1,0.027027027027027,1,0,yes
8209,24,24,93,1,0.010752688172043,1,0,yes
8218,24,22,53,3,0.0566037735849056,3,0,yes
8240,23,21,99,2,0.0202020202020202,2,0,yes
8252,23,17,42,1,0.0238095238095238,1,0,yes
8258,23,13,26,4,0.1538461538461538,4,0,yes
8274,23,19,68,4,0.0588235294117647,3,1,yes
8317,23,17,74,1,0.0135135135135135,1,0,yes
8338,23,16,60,3,0.05,3,0,yes
8396,23,15,85,5,0.0588235294117647,2,3,yes
8404,23,19,36,1,0.0277777777777777,1,0,yes
8425,23,23,31,1,0.032258064516129,0,1,yes
8485,23,23,28,1,0.0357142857142857,0,1,yes
8534,22,15,85,1,0.0117647058823529,1,0,yes
8539,22,13,63,1,0.0158730158730158,1,0,yes
8551,22,15,31,1,0.032258064516129,1,0,yes
8579,22,14,90,1,0.0111111111111111,1,0,yes
8632,22,17,92,1,0.0108695652173913,1,0,yes
8639,22,11,75,3,0.04,3,0,yes
8654,22,12,86,1,0.0116279069767441,1,0,yes
8663,22,20,66,2,0.0303030303030303,1,1,yes
8707,22,16,92,4,0.0434782608695652,3,1,yes
8714,22,19,108,1,0.0092592592592592,1,0,yes
8737,22,15,15,2,0.1333333333333333,2,0,yes
8757,22,16,89,1,0.0112359550561797,1,0,yes
8760,22,22,79,1,0.0126582278481012,1,0,yes
8781,22,13,86,1,0.0116279069767441,1,0,yes
8842,21,20,87,2,0.0229885057471264,1,1,yes
8876,21,11,53,2,0.0377358490566037,1,1,yes
8924,21,21,22,1,0.0454545454545454,1,0,yes
8926,21,20,116,3,0.0258620689655172,3,0,yes
8961,21,20,47,2,0.0425531914893617,2,0,yes
9006,21,18,25,2,0.08,1,1,yes
9012,21,14,90,3,0.0333333333333333,2,1,yes
9039,21,21,67,1,0.0149253731343283,1,0,yes
9045,21,15,94,2,0.0212765957446808,2,0,yes
9046,21,15,82,1,0.0121951219512195,1,0,yes
9062,21,21,14,1,0.0714285714285714,1,0,yes
9070,20,10,48,1,0.0208333333333333,1,0,yes
9079,20,13,111,1,0.009009009009009,1,0,yes
9093,20,15,68,1,0.0147058823529411,1,0,yes
9155,20,13,89,1,0.0112359550561797,1,0,yes
9189,20,19,87,1,0.0114942528735632,1,0,yes
9211,20,16,76,2,0.0263157894736842,2,0,yes
9214,20,14,42,1,0.0238095238095238,0,1,yes
9225,20,17,27,1,0.037037037037037,0,1,yes
9254,20,8,37,5,0.1351351351351351,5,0,yes
9277,20,12,92,2,0.0217391304347826,1,1,yes
9299,20,15,51,1,0.0196078431372549,1,0,yes
9460,19,12,119,3,0.0252100840336134,2,1,yes
9481,19,12,49,4,0.0816326530612244,1,3,yes
9503,19,18,93,1,0.010752688172043,1,0,yes
9539,19,15,32,2,0.0625,2,0,yes
9585,19,12,77,1,0.0129870129870129,0,1,yes
9587,19,13,83,1,0.0120481927710843,1,0,yes
9605,19,19,66,2,0.0303030303030303,2,0,yes
9642,19,15,107,1,0.0093457943925233,1,0,yes
9644,19,15,107,1,0.0093457943925233,1,0,yes
9691,19,13,66,4,0.0606060606060606,0,4,yes
9714,19,14,16,1,0.0625,0,1,yes
9715,19,9,61,1,0.0163934426229508,1,0,yes
